entity,entityLabel,category,property,propertyLabel,value,artist,artistLabel,authorString,sitelinks,dateCreated,dateModified,publicationDate
http://www.wikidata.org/entity/Q42490,Asterix,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,385000000,http://www.wikidata.org/entity/Q192214,René Goscinny,,90,,2024-05-04T20:13:16Z,
http://www.wikidata.org/entity/Q42490,Asterix,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,385000000,http://www.wikidata.org/entity/Q206685,Albert Uderzo,,90,,2024-05-04T20:13:16Z,
http://www.wikidata.org/entity/Q43361,Harry Potter and the Philosopher's Stone,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,500000000,http://www.wikidata.org/entity/Q34660,J. K. Rowling,,103,,2024-11-28T14:03:15Z,
http://www.wikidata.org/entity/Q3234928,Les Profs,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,5200000,http://www.wikidata.org/entity/Q1622619,Pierre Tranchand,,1,,2024-07-09T14:37:36Z,
http://www.wikidata.org/entity/Q3234928,Les Profs,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,5200000,http://www.wikidata.org/entity/Q3057470,Erroc,,1,,2024-07-09T14:37:36Z,
http://www.wikidata.org/entity/Q3235188,Q3235188,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,3000000,,,,1,,2023-10-23T17:43:18Z,
http://www.wikidata.org/entity/Q3235535,The Sisters,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,7000000,http://www.wikidata.org/entity/Q2966138,Christophe Cazenove,,3,,2024-01-31T07:21:24Z,
http://www.wikidata.org/entity/Q18636865,Lastman,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,450000,http://www.wikidata.org/entity/Q525269,Bastien Vivès,,4,,2024-02-08T00:25:40Z,
http://www.wikidata.org/entity/Q18636865,Lastman,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,450000,http://www.wikidata.org/entity/Q18744960,Michaël Sanlaville,,4,,2024-02-08T00:25:40Z,
http://www.wikidata.org/entity/Q18636865,Lastman,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,450000,http://www.wikidata.org/entity/Q22683496,Yves Bigerel,,4,,2024-02-08T00:25:40Z,
http://www.wikidata.org/entity/Q23685911,Zaï zaï zaï zaï,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,350000,http://www.wikidata.org/entity/Q3063501,Fabcaro,,1,,2023-10-22T16:15:50Z,
http://www.wikidata.org/entity/Q79938663,Le Consentement,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,350000,http://www.wikidata.org/entity/Q79940966,Vanessa Springora,,1,,2024-05-05T20:29:54Z,
http://www.wikidata.org/entity/Q99328730,The Anomaly,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,1500000,http://www.wikidata.org/entity/Q1393315,Hervé Le Tellier,,8,,2024-06-11T17:58:18Z,
http://www.wikidata.org/entity/Q714760,Slam Dunk,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,170000000,http://www.wikidata.org/entity/Q459911,Takehiko Inoue,,33,,2024-11-28T15:38:32Z,
http://www.wikidata.org/entity/Q18225473,Yu Yu Hakusho,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,78000000,http://www.wikidata.org/entity/Q550311,Yoshihiro Togashi,,37,,2024-09-22T15:27:37Z,
http://www.wikidata.org/entity/Q1826997,DmC: Devil May Cry,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,3000000,,,,22,,2024-06-15T21:19:05Z,
http://www.wikidata.org/entity/Q16611324,New Super Luigi U,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,3070000,,,,10,,2024-10-15T09:04:51Z,
http://www.wikidata.org/entity/Q113826614,Cyberpunk 2077: Phantom Liberty,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,5000000,,,,12,,2024-10-30T19:00:03Z,
http://www.wikidata.org/entity/Q13822229,Monster Hunter,Art & Literature,http://www.wikidata.org/prop/direct/P2664,http://www.wikidata.org/prop/direct/P2664,100000000,,,,21,,2024-11-19T15:48:38Z,
