entity,entityLabel,category,property,propertyLabel,value,sitelinks
http://www.wikidata.org/entity/Q23638,Klein bottle,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,0,46
http://www.wikidata.org/entity/Q4048844,rotation group SO(4),Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,-1,8
http://www.wikidata.org/entity/Q2788118,E8 manifold,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,10,6
http://www.wikidata.org/entity/Q12510,torus,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,0,70
http://www.wikidata.org/entity/Q3753221,convex polyhedron,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,2,11
http://www.wikidata.org/entity/Q1969721,K3 surface,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,24,9
http://www.wikidata.org/entity/Q1256500,rotation group SO(3),Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,0,14
http://www.wikidata.org/entity/Q2274197,3-sphere,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,0,14
http://www.wikidata.org/entity/Q12507,sphere,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,2,113
http://www.wikidata.org/entity/Q17295,Euclidean space,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,1,66
http://www.wikidata.org/entity/Q633815,real projective plane,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,1,13
http://www.wikidata.org/entity/Q1234054,small stellated dodecahedron,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,-6,18
http://www.wikidata.org/entity/Q3505260,cubic surface,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,9,6
http://www.wikidata.org/entity/Q17278,circle,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,0,157
http://www.wikidata.org/entity/Q34132,cylinder,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,0,104
http://www.wikidata.org/entity/Q869338,G2,Mathematics,http://www.wikidata.org/prop/direct/P6438,http://www.wikidata.org/prop/direct/P6438,0,6
